page,edit_id,timestamp,summary
page,edit_id,timestamp,summary
"[[en:Rydzówka, Braniewo County]]",827277426,2018-02-23T20:03:17Z,Undid revision 640831589 by [[Special:Contributions/80.136.74.137|80.136.74.137]] ([[User talk:80.136.74.137|talk]])
[[en:Alt-right]],827269636,2018-02-23T19:15:09Z,"/* Trump presidential campaign and presidency */ copyedit, grammar fixes"
[[en:Alt-right]],827269336,2018-02-23T19:13:00Z,"actually, Al-jazeera is probably a more neutral, and just as reliable, a source as any of the major US news outlets"
[[en:Boris Novković]],827269005,2018-02-23T19:10:26Z,"""vanquish an impressive array""? [[WP:PEACOCK]]"
[[en:Boris Novković]],827268770,2018-02-23T19:08:47Z,removed unsourced opinion
[[en:Merchiston Tower]],827268308,2018-02-23T19:05:51Z,"/* History */ the ceiling was 17th century and thus not an ""original"" ceiling in a 15th-century building"
[[en:Edinburgh Napier University]],827267906,2018-02-23T19:03:16Z,/* Merchiston Campus */ fix wikilink
[[en:Merchiston Tower]],827267823,2018-02-23T19:02:34Z,reword first sentence
[[en:Merchiston Tower]],827267592,2018-02-23T19:00:57Z,centre spelling
[[en:Merchiston Tower]],827267548,2018-02-23T19:00:44Z,added location
[[en:Merchiston Tower]],827266165,2018-02-23T18:51:37Z,"wikilinks, slight grammar change"
[[en:Merchiston Tower]],827266014,2018-02-23T18:50:30Z,ce
[[en:The Tomorrow People]],827261627,2018-02-23T18:18:07Z,/* 2013 American series */ grammar
[[en:Kerry Shale]],827261442,2018-02-23T18:16:47Z,/* Television */ cleanup
[[en:Robot combat]],827261050,2018-02-23T18:14:02Z,Undid revision 826965050 by [[Special:Contributions/74.110.210.199|74.110.210.199]] ([[User talk:74.110.210.199|talk]]) unsourced addition
[[en:Robot combat]],827261009,2018-02-23T18:13:45Z,Undid revision 826964473 by [[Special:Contributions/74.110.210.199|74.110.210.199]] ([[User talk:74.110.210.199|talk]]) unsourced changes
[[en:Robot combat]],827260946,2018-02-23T18:13:14Z,/* Interchangeable weaponry */ cleanup
[[en:Robot combat]],827260787,2018-02-23T18:11:57Z,/* Combat robot weaponry and design */ cleanup
[[en:Robot combat]],827260641,2018-02-23T18:10:52Z,/* Unusual propulsion */ trim new entry
[[en:Robot combat]],827260484,2018-02-23T18:09:37Z,/* Unusual propulsion */ removed some unsourced original research
[[en:Robot combat]],827260284,2018-02-23T18:08:01Z,"/* Unusual propulsion */ unsourced trivia, wrong section for this"
[[en:Template:Alt-right footer]],827259543,2018-02-23T18:01:47Z,Undid revision 827131873 by [[Special:Contributions/Vinnylospo|Vinnylospo]] ([[User talk:Vinnylospo|talk]]) the article doesn't even mention alt-right once. Not once.
[[en:Slap Shot (film)]],827232038,2018-02-23T14:54:30Z,/* Legacy */ found a real source for the GQ quote
[[en:Slap Shot (film)]],827231367,2018-02-23T14:49:59Z,"/* Legacy */ removed [[WP:OR]], Epstein article is already cited in the first paragraph of the section"
[[en:Slap Shot (film)]],827231117,2018-02-23T14:48:26Z,/* Legacy */ period inside quotes
[[en:Don Maitz]],827228983,2018-02-23T14:34:18Z,removed some of the peacock stuff
[[en:Don Maitz]],827228876,2018-02-23T14:33:30Z,rearranged lead
[[en:Slap Shot (film)]],827227821,2018-02-23T14:26:50Z,"lengthened lead, removed lead template"
[[en:Slap Shot (film)]],827226725,2018-02-23T14:20:34Z,"/* Legacy */ added cult classic description, plus sources"
[[en:Slap Shot (film)]],827222779,2018-02-23T13:52:14Z,/* Development */ expanded source
[[en:Slap Shot (film)]],827222394,2018-02-23T13:48:44Z,"/* Reception */ separated current opinion on the film from the contemporary reviews, updated RT numbers"
[[en:Slap Shot (film)]],827221613,2018-02-23T13:41:04Z,/* Reception */ source for box office
[[en:Slap Shot (film)]],827221537,2018-02-23T13:40:28Z,/* Novelization */ removed [[WP:OR]]
[[en:Slap Shot (film)]],827220120,2018-02-23T13:29:30Z,/* Reception */ added some box office info
[[en:Slap Shot (film)]],827218971,2018-02-23T13:19:43Z,/* Reception */ already mentioned previously
[[en:Slap Shot (film)]],827218400,2018-02-23T13:14:41Z,"/* Development */ sourced the ""favorite role"" statement"
