page,edit_id,timestamp,summary
[[en:User talk:Hillbillyholiday]],799413271,2017-09-07T15:47:41Z,/* Notice of editing restriction */ [[Bingo-Master's Break-Out!|Break out!]]
[[en:Talk:Uma Thurman]],798056955,2017-08-30T18:49:26Z,/* Recent cuts */ comment
[[en:Wikipedia:Biographies of living persons/Noticeboard]],798040446,2017-08-30T16:50:19Z,/* Jeremy Meeks */ reply
[[en:Wikipedia:Biographies of living persons/Noticeboard]],798038703,2017-08-30T16:38:11Z,/* Jeremy Meeks */ new section
[[en:Jeremy Meeks]],798001842,2017-08-30T11:48:32Z,"[[WP:BLPSOURCES]] / too much [[WP:UNDUE|undue]] personal information. Take it to the talkpage, or better still to BLPN, for discussion if you wish to restore."
[[en:Jeremy Meeks]],797982038,2017-08-30T08:40:26Z,Reverted edits by [[Special:Contribs/AnonUser1|AnonUser1]] ([[User talk:AnonUser1|talk]]) to last version by Hillbillyholiday
[[en:Uma Thurman]],797929262,2017-08-30T00:40:51Z,/* Public image */ better secondary sources needed
[[en:Rachel Riley]],797920359,2017-08-29T23:25:20Z,/* Personal life */ [[WP:BLPSOURCES]]
[[en:User talk:Hillbillyholiday]],797901615,2017-08-29T20:47:29Z,"/* Notice of editing restriction */ ""Which one of you nuts has got any guts?"""
[[en:Roy Chubby Brown]],797892359,2017-08-29T19:45:30Z,"/* Personal life */ acquited, relatively trivial"
[[en:Roy Chubby Brown]],797892171,2017-08-29T19:44:10Z,/* Personal life */ so what?
[[en:Roy Chubby Brown]],797892085,2017-08-29T19:43:28Z,/* Personal life */ uncited
[[en:Marty Haggard]],797891069,2017-08-29T19:35:35Z,insignificant
[[en:Beau Brady]],797888854,2017-08-29T19:19:22Z,[[WP:UNDUE]] & [[WP:NOTNEWS]]
[[en:User talk:Hillbillyholiday]],797879317,2017-08-29T18:11:33Z,"/* Notice of editing restriction */ Lol, whatevs"
[[en:Wikipedia:Biographies of living persons/Noticeboard]],797871146,2017-08-29T17:15:12Z,/* Beau Brady article */ reply
[[en:Beau Brady]],797869442,2017-08-29T17:03:02Z,"Then condense it already, don't just blindly revert!"
[[en:Wikipedia:Biographies of living persons/Noticeboard]],797858203,2017-08-29T15:51:45Z,/* Beau Brady article */ comment
[[en:Beau Brady]],797858190,2017-08-29T15:51:39Z,removing per my comments at the BLP noticeboard
[[en:Chris Tarrant]],797823257,2017-08-29T11:07:49Z,"/* Personal life */ tmi, [[WP:BLPSOURCES]], uncited"
[[en:Chris Tarrant]],797823106,2017-08-29T11:06:15Z,/* Legal troubles */ insignificant
[[en:Jennifer Aniston]],797822382,2017-08-29T10:59:16Z,/* Wealth */ how about a graph?
[[en:Jennifer Aniston]],797821879,2017-08-29T10:54:07Z,/* Relationships */ more dating baws
[[en:Jennifer Aniston]],797821806,2017-08-29T10:53:24Z,/* Relationships */ enough post-Pitt stuff already
[[en:Jennifer Aniston]],797821726,2017-08-29T10:52:35Z,"/* Relationships */ not whodatedwho.com (""She briefly frequented the musician Adam Duritz in 1995"", lol)"
[[en:Monty Panesar]],797820037,2017-08-29T10:35:47Z,"split and move personal section, trim poorly sourced, add source"
[[en:Stewart Downing]],797679767,2017-08-28T15:47:06Z,/* Personal life */ subject not involved in incident / no charges
[[en:Rachel Christie]],797678076,2017-08-28T15:36:54Z,tag
[[en:Rachel Christie]],797677984,2017-08-28T15:36:16Z,/* Personal */ uncited dating shite
[[en:Rachel Christie]],797677891,2017-08-28T15:35:41Z,/* Personal */ dm
[[en:Rachel Christie]],797677761,2017-08-28T15:34:51Z,/* Relinquishing of Miss England crown */ sigh... ([[WP:BLPSOURCES]])
[[en:Rachel Christie]],797677660,2017-08-28T15:34:10Z,/* Relinquishing of Miss England crown */ fairly inconsequential
[[en:Talk:Uma Thurman]],797676373,2017-08-28T15:26:01Z,/* Recent cuts */ agreed
[[en:Eddie Irvine]],797649617,2017-08-28T12:28:34Z,"/* Personal life */ ""He became known for his flirting with various women, including [[Pamela Anderson]]"""
[[en:Danny Simpson]],797645732,2017-08-28T11:55:19Z,/* Personal life */ [[WP:BLPSOURCES]]
[[en:Marcus Brigstocke]],797642762,2017-08-28T11:30:41Z,"/* Personal life */ first sentence makes no sense now, not sure how his childhood goth phase is important"
[[en:Marcus Brigstocke]],797642553,2017-08-28T11:29:11Z,/* Personal life */ uncited
[[en:Marcus Brigstocke]],797642482,2017-08-28T11:28:33Z,/* Personal life */ [[WP:BLPSOURCES]]
[[en:Uma Thurman]],797555937,2017-08-27T20:43:10Z,/* Relationships */ [[WP:BLPSOURCES|no tabloid]] [[WP:GOSSIP|gossip]] please
